scientific_name,common_names,image_url,is_invasive,genus,subfamily,family,order,class,phylum,kingdom,watering_level,ppfd_min,ppfd_max,light_requirement,soil_type,growth_pattern,mature_height_cm,toxicity_notes
Solanum lycopersicum,Tomato|Love apple,https://upload.wikimedia.org/wikipedia/commons/8/89/Tomato_je.jpg,false,Solanum,,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,medium,400,800,full sun,well-drained loam,vining,180,"Ripe fruit not toxic and widely eaten; foliage, stems, and green (unripe) fruit contain solanine and are toxic if ingested in quantity."
Solanum tuberosum,Potato,https://upload.wikimedia.org/wikipedia/commons/d/db/Patates.jpg,false,Solanum,,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,medium,400,800,full sun,well-drained sandy loam,herbaceous,60,"Cooked tubers are a staple food and safe; green or sprouted tubers and all green above-ground parts (leaves, stems, fruit) contain solanine and are toxic if ingested."
Solanum melongena,Eggplant|Aubergine|Brinjal,https://upload.wikimedia.org/wikipedia/commons/2/29/Aubergine.jpg,false,Solanum,,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,medium,400,800,full sun,well-drained loam,upright,90,Fruit is edible when cooked; foliage and unripe/raw plant parts contain solanine and are toxic if ingested in quantity.
Solanum nigrum,Black nightshade|European black nightshade,https://upload.wikimedia.org/wikipedia/commons/2/2a/Solanum_nigrum01.jpg,true,Solanum,,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,medium,250,800,partial shade,disturbed/moist well-drained soil,sprawling,60,"Generally considered toxic: unripe (green) berries and foliage contain solanine and glycoalkaloids. Fully ripe black berries of some regional varieties are eaten in small quantities in parts of Africa/Asia after cooking, but toxicity varies by variety and ripeness -- regional practice is inconsistent, so treat as toxic unless a locally verified edible variety and full ripeness are confirmed."
Solanum betaceum,Tamarillo|Tree tomato,https://upload.wikimedia.org/wikipedia/commons/3/3f/Tamarillos.jpg,false,Solanum,,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,medium,400,800,full sun,well-drained loam,shrub,400,"Ripe fruit pulp is edible and cultivated as a food crop (skin is bitter, usually discarded); leaves, stems, and unripe fruit contain solanine and can cause gastrointestinal upset if ingested."
Solanum quitoense,Naranjilla|Lulo,https://upload.wikimedia.org/wikipedia/commons/7/7e/Solanum_quitoense_fruit.jpg,false,Solanum,,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,medium,250,800,partial shade,"well-drained loam, rich in organic matter",shrub,250,"Ripe fruit is a cultivated food crop and edible; foliage and unripe fruit contain solanine, a toxic compound typical of the genus, causing nausea/vomiting/diarrhea if ingested."
Solanum muricatum,Pepino|Pepino melon|Pepino dulce,https://upload.wikimedia.org/wikipedia/commons/3/3f/Pepino_dulce_fruits.jpg,false,Solanum,,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,medium,400,800,full sun,"well-drained loam, rich in organic matter",sprawling,100,"Ripe fruit is a cultivated food crop and considered non-toxic to humans and pets; as with related Solanum species, foliage is generally assumed to carry some solanine risk, but specific documentation for this species is limited -- not well documented for foliage."
Solanum sisymbriifolium,Sticky nightshade|Vila-vila|Litchi tomato,,true,Solanum,,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,low,400,800,full sun,well-drained sandy soil,sprawling,100,"Contains glycoalkaloids (solasodine, solamine, solasodiene) and other bioactive alkaloids typical of Solanum; considered toxic if ingested, consistent with genus-wide solanine-type toxicity."
Capsicum annuum,Bell pepper|Chili pepper|Sweet pepper,https://upload.wikimedia.org/wikipedia/commons/f/ff/Capsicum_annuum_fruit.jpg,false,Capsicum,,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,medium,400,800,full sun,well-drained loam,upright,90,"Edible and non-toxic; capsaicin in some cultivars causes irritation/burning sensation on contact or ingestion, not true toxicity."
Capsicum chinense,Habanero|Scotch bonnet,https://upload.wikimedia.org/wikipedia/commons/6/6d/Bonney_peppers.jpg,false,Capsicum,,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,medium,400,800,full sun,well-drained loam,upright,90,"Edible and non-toxic; very high capsaicin content causes strong irritation/burning on contact or ingestion, not true toxicity."
Capsicum frutescens,Tabasco pepper|Bird's eye chili,https://upload.wikimedia.org/wikipedia/commons/9/94/Tabasco_peppers.jpg,false,Capsicum,,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,medium,400,800,full sun,well-drained loam,shrub,100,"Edible and non-toxic; capsaicin causes irritation on contact or ingestion, not true toxicity."
