scientific_name,common_names,image_url,is_invasive,genus,subfamily,family,order,class,phylum,kingdom,watering_level,ppfd_min,ppfd_max,light_requirement,soil_type,growth_pattern,mature_height_cm,toxicity_notes
Monstera deliciosa,Swiss cheese plant|split-leaf philodendron,https://upload.wikimedia.org/wikipedia/commons/2/2a/Monstera_deliciosa2.jpg,true,Monstera,Monsteroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,150,400,bright indirect,"well-draining aroid mix (bark, perlite, peat)",climbing,300,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Monstera adansonii,Swiss cheese vine|adanson's monstera,https://upload.wikimedia.org/wikipedia/commons/3/3f/Monstera_adansonii_2.jpg,false,Monstera,Monsteroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,150,350,bright indirect,well-draining aroid mix,climbing/trailing,200,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Monstera obliqua,monstera obliqua,,false,Monstera,Monsteroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,150,300,bright indirect,"well-draining aroid mix, high humidity",climbing/trailing,150,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Philodendron hederaceum,heartleaf philodendron,https://upload.wikimedia.org/wikipedia/commons/9/95/Philodendron_hederaceum.jpg,false,Philodendron,Aroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,100,300,bright indirect to medium,well-draining potting mix,climbing/trailing,300,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Philodendron bipinnatifidum,tree philodendron|lacy tree philodendron,https://upload.wikimedia.org/wikipedia/commons/8/85/Philodendron_bipinnatifidum2.jpg,false,Philodendron,Aroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,150,350,bright indirect,rich well-draining potting mix,shrub/self-heading,200,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Philodendron erubescens,blushing philodendron|red-leaf philodendron,,false,Philodendron,Aroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,150,300,bright indirect,well-draining aroid mix,climbing,200,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Philodendron scandens,heartleaf philodendron (syn. P. hederaceum),,false,Philodendron,Aroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,100,300,bright indirect to medium,well-draining potting mix,climbing/trailing,300,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Philodendron gloriosum,philodendron gloriosum,,false,Philodendron,Aroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,150,300,bright indirect,chunky well-draining aroid mix,creeping rhizomatous,60,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Philodendron melanochrysum,black gold philodendron|velvet philodendron,,false,Philodendron,Aroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,150,300,bright indirect,"chunky well-draining aroid mix, high humidity",climbing,300,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Epipremnum aureum,golden pothos|devil's ivy,https://upload.wikimedia.org/wikipedia/commons/9/9e/Epipremnum_aureum_31082012.jpg,true,Epipremnum,Monsteroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,low,50,250,low to bright indirect,well-draining potting mix,climbing/trailing,300,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
