scientific_name,common_names,image_url,is_invasive,genus,subfamily,family,order,class,phylum,kingdom,watering_level,ppfd_min,ppfd_max,light_requirement,soil_type,growth_pattern,mature_height_cm,toxicity_notes
Echeveria elegans,Mexican snow ball|God's Throne|Mexican gem|white Mexican rose,,false,Echeveria,Sempervivoideae,Crassulaceae,Saxifragales,Magnoliopsida,Tracheophyta,Plantae,low,200,400,bright indirect to full sun,well-draining succulent/cactus mix,rosette,10,non-toxic to humans and pets per ASPCA-level succulents references
Echeveria agavoides,wax agave|red edge echeveria|agave-leaved echeveria|molded wax,,false,Echeveria,Sempervivoideae,Crassulaceae,Saxifragales,Magnoliopsida,Tracheophyta,Plantae,low,200,400,bright indirect to full sun,well-draining succulent/cactus mix,compact rosette,15,non-toxic to humans and pets per ASPCA-level succulents references
Echeveria pulvinata,plush plant|velvet echeveria,,false,Echeveria,Sempervivoideae,Crassulaceae,Saxifragales,Magnoliopsida,Tracheophyta,Plantae,low,200,400,bright indirect to full sun,well-draining succulent/cactus mix,rosette,15,non-toxic to humans and pets per ASPCA-level succulents references
Kalanchoe blossfeldiana,flaming kalanchoe|Christmas kalanchoe|short-day kalanchoe|widow's-thrill,,false,Kalanchoe,Kalanchoideae,Crassulaceae,Saxifragales,Magnoliopsida,Tracheophyta,Plantae,low,200,400,bright indirect to full sun,well-draining succulent/cactus mix,compact shrubby rosette,30,contains bufadienolides; toxic to cats and dogs if ingested; mild GI upset in humans
Kalanchoe daigremontiana,mother of thousands|alligator plant|Mexican-hat plant,,true,Kalanchoe,Kalanchoideae,Kalanchoideae,Crassulaceae,Magnoliopsida,Tracheophyta,Plantae,low,200,400,bright indirect to full sun,well-draining succulent/cactus mix,upright shrubby/rambling,60,contains bufadienolides; toxic to cats and dogs if ingested; mild GI upset in humans
Kalanchoe tomentosa,panda plant|pussy ears|chocolate soldier,,false,Kalanchoe,Kalanchoideae,Crassulaceae,Saxifragales,Magnoliopsida,Tracheophyta,Plantae,low,200,400,bright indirect to full sun,well-draining succulent/cactus mix,upright branching shrub,90,contains bufadienolides; toxic to cats and dogs if ingested; mild GI upset in humans
Kalanchoe pinnata,air plant|miracle leaf|life plant|cathedral bells|kalenchoe,,false,Kalanchoe,Kalanchoideae,Crassulaceae,Saxifragales,Magnoliopsida,Tracheophyta,Plantae,low,200,400,bright indirect to full sun,well-draining succulent/cactus mix,upright branching shrub,100,contains bufadienolides; toxic to cats and dogs if ingested; mild GI upset in humans
Sedum morganianum,donkey tail|burro's tail,,false,Sedum,Sempervivoideae,Crassulaceae,Saxifragales,Magnoliopsida,Tracheophyta,Plantae,low,200,400,bright indirect to full sun,well-draining succulent/cactus mix,trailing,60,non-toxic to humans and pets per ASPCA-level succulents references
Sedum rubrotinctum,jelly-beans|jelly bean plant|pork and beans,,false,Sedum,Sempervivoideae,Sempervivoideae,Crassulaceae,Magnoliopsida,Tracheophyta,Plantae,low,200,400,bright indirect to full sun,well-draining succulent/cactus mix,mounding/ground-hugging,20,non-toxic to humans and pets per ASPCA-level succulents references
Sedum acre,goldmoss stonecrop|mossy stonecrop|biting stonecrop|wallpepper,,false,Sedum,Sempervivoideae,Sempervivoideae,Crassulaceae,Magnoliopsida,Tracheophyta,Plantae,low,200,400,bright indirect to full sun,well-draining succulent/cactus mix,creeping mat-forming,10,non-toxic to humans and pets per ASPCA-level succulents references
Crassula ovata,jade plant|lucky plant|money tree|money plant,,false,Crassula,Crassuloideae,Crassulaceae,Saxifragales,Magnoliopsida,Tracheophyta,Plantae,low,200,400,bright indirect to full sun,well-draining succulent/cactus mix,upright shrubby,100,contains cardiac glycosides; mild toxicity risk to humans and pets if ingested in large quantity
Crassula perforata,string of buttons|concertina plant|cascading pagoda,,false,Crassula,Crassuloideae,Crassulaceae,Saxifragales,Magnoliopsida,Tracheophyta,Plantae,low,200,400,bright indirect to full sun,well-draining succulent/cactus mix,upright to trailing,60,contains cardiac glycosides; mild toxicity risk to humans and pets if ingested in large quantity
Crassula muscosa,watch chain|crassula muscosa|rattlebox|tower-of-jewels,,false,Crassula,Crassuloideae,Crassulaceae,Saxifragales,Magnoliopsida,Tracheophyta,Plantae,low,200,400,bright indirect to full sun,well-draining succulent/cactus mix,upright branching/columnar,20,contains cardiac glycosides; mild toxicity risk to humans and pets if ingested in large quantity
Graptopetalum paraguayense,ghost plant|mother of pearl plant|tacitus bellus,,false,Graptopetalum,Sempervivoideae,Crassulaceae,Saxifragales,Magnoliopsida,Tracheophyta,Plantae,low,200,400,bright indirect to full sun,well-draining succulent/cactus mix,rosette,15,non-toxic to humans and pets per ASPCA-level succulents references
Sempervivum tectorum,common houseleek|hens and chicks|roof houseleek,,false,Sempervivum,Sempervivoideae,Crassulaceae,Saxifragales,Magnoliopsida,Tracheophyta,Plantae,low,200,400,bright indirect to full sun,well-draining succulent/cactus mix,rosette-forming clump,15,non-toxic to humans and pets per ASPCA-level succulents references
Aeonium arboreum,tree aeonium|house aeonium,,false,Aeonium,Sempervivoideae,Crassulaceae,Saxifragales,Magnoliopsida,Tracheophyta,Plantae,low,200,400,bright indirect to full sun,well-draining succulent/cactus mix,rosette unbranched/subshrub,100,non-toxic to humans and pets per ASPCA-level succulents references
Aeonium haworthii,aeonium haworthii|pink pinwheel aeonium|haworth's aeonium,,false,Aeonium,Sempervivoideae,Crassulaceae,Saxifragales,Magnoliopsida,Tracheophyta,Plantae,low,200,400,bright indirect to full sun,well-draining succulent/cactus mix,dwarf rosette/subshrub,30,non-toxic to humans and pets per ASPCA-level succulents references
Cotyledon orbiculata,pig's ear|round-leafed navel-wort|cotyledon,,false,Cotyledon,Sempervivoideae,Kalanchoideae,Crassulaceae,Magnoliopsida,Tracheophyta,Plantae,low,200,400,bright indirect to full sun,well-draining succulent/cactus mix,upright rounded shrub,120,contains cardiac glycosides; mild toxicity risk to humans and pets if ingested in large quantity
Adromischus cristatus,crinkle-leaf plant|frosted adromischus|adromischus cristatus,,false,Adromischus,Sempervivoideae,Crassulaceae,Saxifragales,Magnoliopsida,Tracheophyta,Plantae,low,200,400,bright indirect to full sun,well-draining succulent/cactus mix,rosette/clumping,15,non-toxic to humans and pets per ASPCA-level succulents references
Pachyphytum oviferum,moonstones|sugar almond plant|pachyphytum oviferum,,false,Pachyphytum,Sempervivoideae,Crassulaceae,Saxifragales,Magnoliopsida,Tracheophyta,Plantae,low,200,400,bright indirect to full sun,well-draining succulent/cactus mix,rosette,15,non-toxic to humans and pets per ASPCA-level succulents references
