scientific_name,common_names,image_url,is_invasive,genus,subfamily,family,order,class,phylum,kingdom,watering_level,ppfd_min,ppfd_max,light_requirement,soil_type,growth_pattern,mature_height_cm,toxicity_notes
Phaseolus vulgaris,Common bean|String bean|Green bean|Kidney bean,https://upload.wikimedia.org/wikipedia/commons/8/8f/Phaseolus_vulgaris_0002.JPG,false,Phaseolus,Faboideae,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,medium,300,600,full sun,well-drained loam,climbing/vining (bush cultivars also common),200,"Raw or undercooked beans contain phytohaemagglutinin (a lectin), toxic and causes GI distress; destroyed by thorough boiling; safe when properly cooked."
Phaseolus lunatus,Lima bean|Butter bean,https://upload.wikimedia.org/wikipedia/commons/8/85/Phaseolus_lunatus_002.JPG,false,Phaseolus,Faboideae,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,medium,300,600,full sun,well-drained loam,climbing/vining (bush cultivars also common),300,"Raw/undercooked seeds contain cyanogenic glycosides (linamarin) and phytohaemagglutinin-type lectins, can release toxic cyanide; some wild/unimproved varieties much higher in cyanogenic content; safe when properly cooked."
Glycine max,Soybean|Soya bean,https://upload.wikimedia.org/wikipedia/commons/1/12/Glycine_max_soybean.jpg,false,Glycine,Faboideae,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,medium,400,800,full sun,well-drained loam,upright/bushy,100,Raw soybeans contain trypsin inhibitors and lectins that interfere with digestion; must be cooked/processed before consumption; edible and a major food/protein crop when properly prepared.
Pisum sativum,Pea|Garden pea|Field pea,https://upload.wikimedia.org/wikipedia/commons/6/6f/PeasInPods.jpg,false,Pisum,Faboideae,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,medium,300,600,full sun to partial shade,well-drained loam,climbing/vining,150,Generally edible and non-toxic when cooked; raw mature seeds contain modest antinutrients (lectins/protease inhibitors) reduced by cooking; no significant toxicity concern for normal consumption.
Vicia faba,Fava bean|Broad bean,https://upload.wikimedia.org/wikipedia/commons/9/94/Vicia_faba_-_broad_bean.jpg,false,Vicia,Faboideae,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,medium,300,600,full sun,well-drained loam,upright,120,"Edible when cooked, but contains vicine and convicine which trigger favism (acute hemolytic anemia) in individuals with G6PD deficiency; a genuine and well-documented human health risk distinct from general lectin toxicity."
Vigna unguiculata,Cowpea|Black-eyed pea|Southern pea,https://upload.wikimedia.org/wikipedia/commons/7/7a/Vigna_unguiculata01.jpg,false,Vigna,Faboideae,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,low,400,800,full sun,sandy loam,climbing/vining (bush cultivars also common),200,Generally edible and non-toxic when cooked; raw seeds contain minor antinutrients (trypsin inhibitors/lectins) reduced by cooking; no significant documented toxicity.
Arachis hypogaea,Peanut|Groundnut,https://upload.wikimedia.org/wikipedia/commons/6/6e/Erdnuss_Illustration.jpg,false,Arachis,Faboideae,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,medium,400,800,full sun,sandy loam,bushy/groundcover (pegs fruit underground),50,"Not toxic; edible seed and major global food crop. Not a botanical toxicity, but peanuts are among the most common and severe human food allergens (can cause anaphylaxis in sensitized individuals); also prone to aflatoxin contamination from mold if improperly stored."
Lens culinaris,Lentil,https://upload.wikimedia.org/wikipedia/commons/9/94/Lens_culinaris_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-095.jpg,false,Lens,Faboideae,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,low,300,600,full sun,well-drained loam,upright/bushy,40,Generally edible and non-toxic when cooked; raw seeds contain minor lectins/protease inhibitors reduced by cooking; no significant documented toxicity.
Cicer arietinum,Chickpea|Garbanzo bean,https://upload.wikimedia.org/wikipedia/commons/2/2e/Chickpeas_Chana.JPG,false,Cicer,Faboideae,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,low,300,600,full sun,well-drained loam,upright/bushy,50,Generally edible and non-toxic when cooked; raw seeds contain minor antinutrients (trypsin inhibitors/lectins) reduced by cooking; no significant documented toxicity.
Medicago sativa,Alfalfa|Lucerne,https://upload.wikimedia.org/wikipedia/commons/2/2a/Alfalfa_field.jpg,false,Medicago,Faboideae,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,medium,400,800,full sun,well-drained loam,upright/bushy,90,"Generally non-toxic; widely used forage/food crop (sprouts eaten by humans). Documented cautions: raw/sprouted alfalfa seeds contain L-canavanine, linked in some studies to autoimmune symptom flares in susceptible individuals; excessive fresh consumption by livestock can contribute to bloat. Naturalized widely but not generally classified as invasive."
