scientific_name,common_names,image_url,is_invasive,genus,subfamily,family,order,class,phylum,kingdom,watering_level,ppfd_min,ppfd_max,light_requirement,soil_type,growth_pattern,mature_height_cm,toxicity_notes
Brassica oleracea,Cabbage|Wild cabbage|Broccoli|Cauliflower|Kohlrabi,https://upload.wikimedia.org/wikipedia/commons/9/90/Brassica_oleracea0.jpg,false,Brassica,,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,Plantae,medium,400,800,full sun,well-drained loam,upright biennial herb,150,"Leaves, stems, and florets are edible and non-toxic; cultivated as major food crops. Contains glucosinolates that can cause goitrogenic effects in animals/at-risk populations with extremely high chronic consumption — not relevant in normal dietary amounts."
Brassica rapa,Turnip|Napa cabbage|Bok choy|Field mustard,https://upload.wikimedia.org/wikipedia/commons/9/9f/Brassica_rapa.jpg,false,Brassica,,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,Plantae,medium,400,800,full sun,well-drained loam,upright biennial herb,60,Roots and leaves are edible food crops; generally non-toxic in normal culinary use. Contains glucosinolates in typical brassica amounts — can contribute to goitrogenic effects only at very high chronic intake. Not a toxicity concern in ordinary diet.
Brassica napus,Canola|Rapeseed|Swede,https://upload.wikimedia.org/wikipedia/commons/e/e0/Brassica_napus_oblongifolia1.jpg,false,Brassica,,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,Plantae,medium,400,800,full sun,well-drained loam,upright herb,200,"Cultivated for oilseed (canola) and edible roots/tops; generally non-toxic. Glucosinolate content in modern canola cultivars is specifically bred low. Raw seeds contain erucic acid and glucosinolates at mild levels, but food-grade product is refined and safe."
Brassica juncea,Brown mustard|Indian mustard|Leaf mustard,https://upload.wikimedia.org/wikipedia/commons/b/b5/Mustard_leaf.jpg,false,Brassica,,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,Plantae,medium,500,800,full sun,well-drained loam,upright biennial herb,90,"Leaves and seeds are edible and widely consumed (mustard greens, mustard condiments). Seeds are higher in glucosinolates/mustard oil than many brassicas but normal culinary use is safe. Related species affinity to livestock-heavy grazing but no acute human toxicity."
Raphanus sativus,Radish,https://upload.wikimedia.org/wikipedia/commons/b/be/Radishes.jpg,false,Raphanus,,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,Plantae,medium,500,800,full sun,well-drained sandy loam,upright herb,50,Root is edible and non-toxic; a common food crop. Leaves are edible and used in salads in many cultures. Generally regarded as safe; no significant documented toxicity.
Armoracia rusticana,Horseradish,https://upload.wikimedia.org/wikipedia/commons/8/81/Armoracia_rusticana.jpg,false,Armoracia,,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,Plantae,medium,500,800,full sun to partial shade,well-drained loam,upright herb,100,Root is edible and widely used as a condiment; grated root produces allyl isothiocyanate which gives pungency. Usually non-toxic and safe in typical culinary amounts. Skin contact with fresh root can cause irritation; large ingestion can cause GI distress — still generally safe when used as food.
Eruca sativa,Arugula|Rocket|Ruccola,https://upload.wikimedia.org/wikipedia/commons/e/e7/Eruca_sativa0.jpg,false,Eruca,,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,Plantae,medium,400,800,full sun,well-drained loam,upright rosette herb,60,Leaves are edible and a common salad green. Contains typical brassica glucosinolates but considered safe and nutritious in normal consumption. No significant toxicity in human dietary use.
Nasturtium officinale,Watercress,https://upload.wikimedia.org/wikipedia/commons/e/e6/Nasturtium_officinale.jpg,false,Nasturtium,,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,Plantae,medium,,,partial shade,"clean, moist, alkaline streams/loam",creeping aquatic herb,60,Leaves and stems are edible and used as salad green; generally non-toxic. Foliage can accumulate heavy metals/waterborne pathogens from contaminated water — safety depends on water source. Generally regarded as safe in cultivated/hydroponic settings.
Lepidium sativum,Garden cress|Peppergrass,https://upload.wikimedia.org/wikipedia/commons/c/ce/Lepidium_sativum2.jpg,false,Lepidium,,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,Plantae,medium,400,800,full sun to partial shade,well-drained loam,upright herb,60,"Leaves and seeds are edible; commonly used as garnish and salad green. Generally non-toxic in culinary amounts. Some reports of mild goitrogenic potential at very high consumption, not a concern in normal dietary use."
Sinapis alba,White mustard,https://upload.wikimedia.org/wikipedia/commons/0/08/Sinapis_alba_close_up.jpg,false,Sinapis,,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,Plantae,medium,500,800,full sun,well-drained loam,upright herb,120,"Seeds are used as a condiment and spice; generally non-toxic in culinary amounts. Mustard can be a skin/respiratory irritant in concentrated preparations. Seeds are eaten as food worldwide, but in very large quantities can cause GI irritation."
