scientific_name,common_names,image_url,is_invasive,genus,subfamily,family,order,class,phylum,kingdom,watering_level,ppfd_min,ppfd_max,light_requirement,soil_type,growth_pattern,mature_height_cm,toxicity_notes
Phalaenopsis amabilis,moth orchid,https://upload.wikimedia.org/wikipedia/commons/e/e3/Phalaenopsis_amabilis.jpg,false,Phalaenopsis,Epidendroideae,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,medium,150,300,bright indirect,bark-based orchid mix,monopodial epiphyte,30,Generally non-toxic to cats/dogs/humans; not known for serious toxicity
Phalaenopsis schilleriana,variegated moth orchid,https://upload.wikimedia.org/wikipedia/commons/4/46/Phalaenopsis_schilleriana.jpg,false,Phalaenopsis,Epidendroideae,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,medium,150,300,bright indirect,bark-based orchid mix,monopodial epiphyte,30,Generally non-toxic to cats/dogs/humans
Cattleya labiata,corsage orchid,https://upload.wikimedia.org/wikipedia/commons/0/01/Cattleya_labiata.jpg,false,Cattleya,Epidendroideae,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,medium,200,400,bright indirect,coarse orchid bark / coarse medium,sympodial epiphyte,45,Generally non-toxic to cats/dogs/humans
Dendrobium nobile,noble dendrobium,https://upload.wikimedia.org/wikipedia/commons/4/4d/Dendrobium_nobile_flower.jpg,false,Dendrobium,Epidendroideae,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,medium,200,500,bright indirect,well-draining orchid bark mix,sympodial epiphyte,60,Most orchids generally non-toxic to cats/dogs; D. nobile not specifically known to be toxic
Vanda coerulea,blue vanda,https://upload.wikimedia.org/wikipedia/commons/6/62/Vanda_coerulea.jpg,false,Vanda,Epidendroideae,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,high,300,600,bright indirect to partial sun,coarse orchid medium / mounted,monopodial epiphyte,120,Non-toxic to cats/dogs/humans; no major toxicity reports
Oncidium sphacelatum,golden shower orchid,,false,Oncidium,Epidendroideae,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,medium,200,400,bright indirect,well-draining orchid mix,sympodial epiphyte,90,Generally non-toxic to cats/dogs/humans; no major toxicity reports
Paphiopedilum callosum,lady's slipper orchid,https://upload.wikimedia.org/wikipedia/commons/3/38/Paphiopedilum_callosum.jpg,false,Paphiopedilum,Cypripedioideae,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,medium,100,300,low to bright indirect,well-draining terrestrial mix,rosette herbaceous,45,Generally non-toxic to cats/dogs/humans
Cymbidium ensifolium,autumn orchid,https://upload.wikimedia.org/wikipedia/commons/6/66/Cymbidium_ensifolium_01.jpg,false,Cymbidium,Epidendroideae,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,medium,200,500,bright indirect,well-draining orchid mix,sympodial herbaceous,60,Generally non-toxic to cats/dogs/humans
Miltonia spectabilis,showy miltonia,,false,Miltonia,Epidendroideae,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,medium,150,350,bright indirect,well-draining orchid mix,sympodial epiphyte,45,Generally non-toxic to cats/dogs/humans; no significant toxicity concerns reported
Brassia verrucosa,spider orchid,,false,Brassia,Epidendroideae,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,medium,150,350,bright indirect,well-draining orchid mix,sympodial epiphyte,60,Non-toxic to cats/dogs/humans
Epidendrum radicans,fire-star orchid,https://upload.wikimedia.org/wikipedia/commons/7/73/Epidendrum_radicans_2.jpg,false,Epidendrum,Epidendroideae,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,medium,200,400,bright indirect,well-draining orchid mix,sympodial reed-stem,90,Generally non-toxic to cats/dogs/humans
Zygopetalum intermedium,,,false,Zygopetalum,Epidendroideae,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,,,,,,,No specific toxicity data found; treat as uncertain/low-risk
Masdevallia coccinea,,,false,Masdevallia,Epidendroideae,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,,,,,,,No specific toxicity data found; minimal horticultural care data located for this species specifically
Encyclia cochleata,cockleshell orchid,https://upload.wikimedia.org/wikipedia/commons/c/c3/Encyclia_cochleata.jpg,false,Encyclia,Epidendroideae,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,medium,200,400,bright indirect,well-draining orchid bark mix,sympodial epiphyte,60,Generally non-toxic to cats/dogs/humans
Ludisia discolor,jewel orchid,https://upload.wikimedia.org/wikipedia/commons/d/df/Ludisia_disc_color.jpg,false,Ludisia,Orchidoideae,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,medium,100,250,low to medium indirect,well-draining humus-rich mix,terrestrial creeping,20,Generally non-toxic to cats/dogs/humans; foliage may cause mild oral irritation in pets
Vanilla planifolia,vanilla orchid,https://upload.wikimedia.org/wikipedia/commons/5/59/Vanilla_planifolia_flower.jpg,false,Vanilla,Vanilloideae,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,medium,200,400,bright indirect,well-draining humus-rich mix,vine / climbing,1500,Vanilla orchid generally non-toxic; commercial vanilla flavoring safe; plant parts not typically consumed
Laelia purpurata,,,false,Laelia,Epidendroideae,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,medium,200,400,bright indirect,well-draining orchid bark mix,sympodial epiphyte,60,Generally non-toxic to cats/dogs/humans
Coelogyne cristata,,,false,Coelogyne,Epidendroideae,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,medium,150,300,bright indirect,well-draining orchid mix,sympodial epiphyte,45,Generally non-toxic to cats/dogs/humans; no major toxicity data noted
Bulbophyllum lobbii,,,false,Bulbophyllum,Epidendroideae,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,,,,,,,Minimal horticultural data located; no toxicity data located; care fields left blank to avoid fabrication
Ansellia africana,leopard orchid,https://upload.wikimedia.org/wikipedia/commons/9/96/Ansellia_africana.jpg,false,Ansellia,Epidendroideae,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,medium,200,400,bright indirect,well-draining orchid mix,sympodial epiphyte,100,Generally non-toxic to cats/dogs/humans
