scientific_name,common_names,image_url,is_invasive,genus,subfamily,family,order,class,phylum,kingdom,watering_level,ppfd_min,ppfd_max,light_requirement,soil_type,growth_pattern,mature_height_cm,toxicity_notes
Opuntia ficus-indica,prickly pear|Indian fig,https://upload.wikimedia.org/wikipedia/commons/8/85/Opuntia_ficus-indica_02.jpg,true,Opuntia,,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,low,400,1000,full sun,sandy well-draining cactus mix,shrub/pad-forming,300,glochids/spines cause mechanical skin irritation; fruit edible
Opuntia microdasys,bunny ears cactus|polka dot cactus,https://upload.wikimedia.org/wikipedia/commons/6/6b/Opuntia_microdasys1.jpg,true,Opuntia,,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,low,400,1000,full sun,sandy well-draining cactus mix,shrub/pad-forming,60,glochids cause significant skin/eye irritation
Opuntia humifusa,eastern prickly pear,,false,Opuntia,,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,low,400,900,full sun,sandy well-draining cactus mix,prostrate/mat-forming,30,glochids cause mechanical skin irritation
Echinocactus grusonii,golden barrel cactus,https://upload.wikimedia.org/wikipedia/commons/5/5f/Echinocactus_grusonii_1.jpg,false,Echinocactus,,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,low,400,1000,full sun,sandy well-draining cactus mix,globular/barrel,100,generally non-toxic; mechanical injury from spines; some (e.g. Opuntia glochids) cause skin/mucous membrane irritation
Ferocactus latispinus,devil's tongue barrel cactus,,false,Ferocactus,,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,low,400,1000,full sun,sandy well-draining cactus mix,globular/barrel,50,generally non-toxic; mechanical injury from spines; some (e.g. Opuntia glochids) cause skin/mucous membrane irritation
Mammillaria elongata,ladyfinger cactus|gold lace cactus,,false,Mammillaria,,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,low,350,900,full sun to bright indirect,sandy well-draining cactus mix,clustering columnar,15,generally non-toxic; mechanical injury from spines; some (e.g. Opuntia glochids) cause skin/mucous membrane irritation
Mammillaria hahniana,old lady cactus,,false,Mammillaria,,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,low,350,900,full sun to bright indirect,sandy well-draining cactus mix,globular clustering,15,generally non-toxic; mechanical injury from spines; some (e.g. Opuntia glochids) cause skin/mucous membrane irritation
Gymnocalycium mihanovichii,moon cactus (chin cactus),https://upload.wikimedia.org/wikipedia/commons/3/3a/Gymnocalycium_mihanovichii2.jpg,false,Gymnocalycium,,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,low,300,800,bright indirect to full sun,sandy well-draining cactus mix,globular,15,generally non-toxic; mechanical injury from spines; some (e.g. Opuntia glochids) cause skin/mucous membrane irritation
Astrophytum myriostigma,bishop's cap cactus,,false,Astrophytum,,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,low,350,900,full sun,sandy well-draining cactus mix,globular/columnar,60,generally non-toxic; mechanical injury from spines; some (e.g. Opuntia glochids) cause skin/mucous membrane irritation
Astrophytum asterias,sand dollar cactus|sea urchin cactus,,false,Astrophytum,,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,low,350,900,full sun,sandy well-draining cactus mix,globular,15,generally non-toxic; mechanical injury from spines; some (e.g. Opuntia glochids) cause skin/mucous membrane irritation
