"species","pollinator_name","pollinator_type","source","confidence","notes"
"Cucurbita pepo","Apis mellifera","insect","general entomology/apiculture references","high","Cucurbits are obligate outcrossers requiring bees for pollination. Honey bees visit squash flowers for pollen/nectar; bumblebees (Bombus) are actually more efficient due to buzz pollination (sonication)"
"Cucurbita pepo","Bombus impatiens","insect","buzz-pollination agricultural literature (Greenleaf & Kremen 2006)","high","Common eastern bumble bee performs buzz pollination (sonication) on cucurbit flowers; more efficient than honey bees for fertilization; extensively documented for Cucurbita."
"Cucurbita maxima","Apis mellifera","insect","general agricultural references","high","Like C. pepo"
"Cucurbita maxima","Bombus impatiens","insect","buzz-pollination agricultural references","high","Similarly buzz-pollinated; bumblebee visits well-documented."
"Cucurbita moschata","Apis mellifera","insect","general agricultural references","high","Documented visits from honey bees to squash/pumpkin crops including butternut squash (C. moschata)."
"Cucurbita moschata","Bombus impatiens","insect","buzz-pollination literature","high","Efficient buzz pollinator for all Cucurbita spp."
"Cucumis sativus","Apis mellifera","insect","pollination biology references (Free 1993)","high","Cucumber flowers are well-documented honey bee visits; cucumbers can also self-pollinate but bee visits dramatically increase yield and fruit quality."
"Cucumis melo","Apis mellifera","insect","apiaculture / cantaloupe cultivation references","high","Cantaloupe/muskmelon flowers attract honey bees significantly; bee pollination improves set and fruit quality."
"Citrullus lanatus","Apis mellifera","insect","watermelon cultivation / pollination references","high","Watermelons require bee pollination for good set; honey bees are primary commercial pollinators."
"Citrullus lanatus","Bombus impatiens","insect","buzz-pollination literature","medium","Bumblebees effective on watermelon; honey bees dominate commercial management."
"Brassica oleracea","Apis mellifera","insect","general crop pollination references","high","Brassicas visited by honey bees for pollen/nectar; bees pollinate seed-producing crops and can increase seed yield; wild Brassicas have similar visitors."
"Brassica napus","Apis mellifera","insect","oilseed rape / canola pollination studies","high","Canola yield strongly correlated with bee visitation; honey bee hives placed near canola are standard agricultural practice."
"Brassica napus","Bombus impatiens","insect","bumblebee foraging studies/bee pollination","high","Bumblebees visit canola flowers and contribute to pollination; management use documented."
"Brassica rapa","Apis mellifera","insect","general crop pollination references","medium","Turnip/Chinese cabbage flowers attract bees; documented for seed-growing brassicas."
"Brassica juncea","Apis mellifera","insect","general crop pollination references","medium","Brown mustard flowers attract bees as nectar source; included for completeness at medium confidence."
"Raphanus sativus","Apis mellifera","insect","general crop pollination references","medium","Radish flowers attract bees for nectar/pollen; bees are effective pollinators when radish is grown for seed production."
"Raphanus sativus","syrphidae spp.","insect","crop ecology references","medium","Hoverflies (Syrphidae) visit radish and brassica flowers and contribute to pollination; hoverflies are generalist floral visitors common in brassica crops."
"Phaseolus vulgaris","Bombus impatiens","insect","bean/bumblebee pollination studies","high","Bumblebees are the most important pollinators of common beans; buzz pollinates flowers for maximum pod set. Honey bees visit but are less effective."
"Phaseolus vulgaris","Xylocopa virginica","insect","large carpenter bee pollination of legumes","medium","Carpenter bees (Xylocopa) visit and pollinate bean flowers; less efficient than bumblebees at sonication but contribute to floral visitation."
"Phaseolus lunatus","Bombus impatiens","insect","general legume pollination references","high","Lima bean flowers similar to common bean; bumblebee pollination well-established."
"Glycine max","Bombus impatiens","insect","soybean pollination studies","high","Soybeans are primarily self-pollinated but bumblebees do visit flowers; evidence for yield benefits is modest but documented."
"Pisum sativum","Bombus impatiens","insect","pea pollination studies (garden pea)","high","Bumblebees preferentially visit pea flowers and increase pod set; honey bees visit less efficiently due to flower depth."
"Vicia faba","Bombus impatiens","insect","faba/broad bean pollination studies (Goulson et al.)","high","Broad/faba beans are preferentially visited by bumblebees; demonstrated yield boost from bumblebee visits compared to no-pollination controls."
"Daucus carota","Diptera syrphidae","insect","carrot fly / beneficial insect guides","medium","Hoverflies are attracted to umbellifer flowers including carrot; hoverfly larvae predate aphids near carrots."
"Daucus carota","Tachinidae spp.","insect","beneficial insect / homestead gardening references","low","Tachinid flies visit umbellifers; beneficial as parasitoids of garden pests; weak specific link to Daucus carota."
"Apium graveolens","tachinidae spp.","insect","beneficial insect guides/references","low","Celery (Apiaceae) visited by tachinid flies as adults for nectar; larvae parasitize celery pests."
"Apium graveolens","xylocopa virginica","insect","general crop pollination references","low","Small carpenter bees noted visiting celery flowers; contribution uncertain."
"Petroselinum crispum","Apis mellifera","insect","general culinary herb pollination references","medium","Parsley flowers visited by small bees and flies; honey bees will visit when in mass bloom; attraction benefits companion plants."
"Petroselinum crispum","syrphidae spp.","insect","beneficial insect / collateral attraction references","high","Parsley flowers are excellent attractants for hoverfly adults (Syrphidae)"
