scientific_name,common_names,image_url,is_invasive,genus,subfamily,family,order,class,phylum,kingdom,watering_level,ppfd_min,ppfd_max,light_requirement,soil_type,growth_pattern,mature_height_cm,toxicity_notes,native_regions
Rosa chinensis,China rose|Chinese rose,https://upload.wikimedia.org/wikipedia/commons/6/6b/Rosa_chinensis_2.jpg,false,Rosa,Rosoideae,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,medium,400,800,full sun,well-drained loam,shrub,150,Generally non-toxic; flowers and hips are edible; no significant documented toxicity.,Native to China (southwestern provinces).
Rosa gallica,French rose|Gallic rose,https://upload.wikimedia.org/wikipedia/commons/9/9b/Rosa_gallica_flower.jpg,false,Rosa,Rosoideae,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,medium,400,800,full sun,"well-drained loam, tolerant of poor soils",shrub,100,Generally non-toxic; hips edible; no significant documented toxicity.,Native to central and southern Europe and western Asia.
Prunus persica,Peach,https://upload.wikimedia.org/wikipedia/commons/3/3a/Autumn_Red_peaches.jpg,false,Prunus,Amygdaloideae,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,medium,600,1000,full sun,well-drained sandy loam,tree,600,"Seeds/pits, leaves, and bark contain cyanogenic glycosides (amygdalin); toxic to humans and pets if chewed/crushed in quantity, releasing cyanide.",Native to China.
Prunus avium,Sweet cherry|Wild cherry,https://upload.wikimedia.org/wikipedia/commons/8/8a/Prunus_avium_002.JPG,false,Prunus,Amygdaloideae,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,medium,600,1000,full sun,well-drained loam,tree,1500,"Seeds/pits, leaves, and bark contain cyanogenic glycosides (amygdalin); toxic to humans and pets if chewed/crushed in quantity, releasing cyanide. Wilting leaves especially dangerous to livestock.",Native to Europe and western Asia.
Prunus domestica,Plum|European plum,https://upload.wikimedia.org/wikipedia/commons/9/94/Plum_1240.jpg,false,Prunus,Amygdaloideae,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,medium,600,1000,full sun,well-drained loam,tree,600,"Seeds/pits, leaves, and bark contain cyanogenic glycosides (amygdalin); toxic to humans and pets if chewed/crushed in quantity, releasing cyanide.","Likely of hybrid origin (Prunus cerasifera x Prunus spinosa); associated with the Caucasus/western Asia region, naturalized and cultivated across Europe since antiquity."
Prunus dulcis,Almond,https://upload.wikimedia.org/wikipedia/commons/4/49/Almonds_%28Prunus_dulcis%29.jpg,false,Prunus,Amygdaloideae,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,low,600,1000,full sun,well-drained sandy/loamy soil,tree,800,"Bitter almond varieties contain high amygdalin and are toxic raw (release cyanide); sweet (commercial) almonds are safe to eat, but leaves, bark, and seed coat still contain cyanogenic compounds and pose risk if consumed in quantity.","Native to the Middle East, Iran, and Central Asia."
Malus domestica,Apple,https://upload.wikimedia.org/wikipedia/commons/1/15/Red_Apple.jpg,false,Malus,Amygdaloideae,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,medium,600,1000,full sun,well-drained loam,tree,500,"Seeds contain amygdalin (a cyanogenic glycoside); toxic in large quantities if chewed/crushed, releasing cyanide. Flesh of fruit is safe.","Native to Central Asia (Tian Shan mountains, Kazakhstan), derived largely from wild ancestor Malus sieversii."
Pyrus communis,European pear|Common pear,https://upload.wikimedia.org/wikipedia/commons/4/4c/Pyrus_communis_Bosc.jpg,false,Pyrus,Amygdaloideae,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,medium,600,1000,full sun,well-drained loam,tree,1200,Fruit generally non-toxic and edible; seeds contain trace amygdalin but not considered a significant hazard in typical consumption.,Native to Europe and western Asia.
Fragaria x ananassa,Garden strawberry,https://upload.wikimedia.org/wikipedia/commons/8/8a/PerfectStrawberry.jpg,false,Fragaria,Rosoideae,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,medium,400,800,full sun,"well-drained sandy loam, rich in organic matter",groundcover,20,Fruit and leaves generally non-toxic; widely consumed and considered safe.,"Garden hybrid origin (Fragaria virginiana x Fragaria chiloensis); Fragaria virginiana native to North America, Fragaria chiloensis native to the Pacific coast of the Americas including Chile. Not native to Paraguay/most of South America as a species — it is a horticultural hybrid, though one parent (F. chiloensis) is native to coastal Chile."
Rubus idaeus,Red raspberry,https://upload.wikimedia.org/wikipedia/commons/6/6a/Rubus_idaeus_a4.jpg,false,Rubus,Rosoideae,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,medium,400,800,full sun to part shade,"well-drained loam, rich in organic matter",bramble,180,Fruit non-toxic and edible; leaves sometimes used in herbal tea; no significant documented toxicity.,Native to Europe and northern Asia (temperate regions).
