scientific_name,common_names,image_url,is_invasive,genus,subfamily,family,order,class,phylum,kingdom,watering_level,ppfd_min,ppfd_max,light_requirement,soil_type,growth_pattern,mature_height_cm,toxicity_notes,native_regions
Handroanthus impetiginosus,Pink Lapacho|Pink Trumpet Tree|Ipe Roxo,,false,Handroanthus,,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,medium,800,2000,full sun,"well-drained loam, tolerates clay and poor soil",tree,3000,No significant documented toxicity,"South America (Argentina, Bolivia, Paraguay, Brazil)"
Handroanthus chrysanthus,Golden Trumpet Tree|Gold Tree|Araguaney,,false,Handroanthus,,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,medium,800,2000,full sun,"well-drained loam, tolerates poor/rocky soil",tree,2500,No significant documented toxicity,Mexico and Central America south to Venezuela and Ecuador
Tabebuia rosea,Pink Trumpet Tree|Rosy Trumpet Tree|Poui,,false,Tabebuia,,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,medium,800,2000,full sun,"well-drained loam, tolerates a range of soils including clay",tree,3000,No significant documented toxicity,Mexico and Central America to northern South America
Jacaranda mimosifolia,Jacaranda|Blue Jacaranda,,true,Jacaranda,,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,medium,800,2000,full sun,"well-drained loam, adaptable to sandy soils",tree,2000,No significant documented toxicity,"South America (Argentina, Bolivia, Brazil)"
Catalpa bignonioides,Southern Catalpa|Indian Bean Tree|Cigar Tree,,false,Catalpa,,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,medium,,,full sun to partial shade,"tolerates a wide range of soils, including wet and poor soils",tree,1500,Seed pods and leaves reported to cause mild gastrointestinal upset if ingested in quantity; generally low toxicity,North America (southeastern United States)
Campsis radicans,Trumpet Vine|Trumpet Creeper|Cow Itch Vine,,true,Campsis,,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,medium,,,full sun to partial shade,"tolerates poor, dry to moist soils",climbing vine,1000,"Sap can cause contact dermatitis (skin redness, itching); leaves/flowers mildly toxic if ingested causing stomach upset",North America (eastern and southeastern United States)
Spathodea campanulata,African Tulip Tree|Fountain Tree|Flame of the Forest,,true,Spathodea,,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,medium,800,2000,full sun,"well-drained loam, adaptable to many soil types",tree,2500,Flower nectar/water held in buds reported to cause temporary eye irritation and skin rash in some individuals; seeds not typically consumed,Africa (tropical West and Central Africa)
Crescentia cujete,Calabash Tree|Gourd Tree,,false,Crescentia,,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,medium,,,full sun to partial shade,tolerates a wide range including poor and rocky soils,tree,800,"Raw pulp/seeds of fruit reported toxic/purgative in quantity; fruit shell used as gourd, not typically eaten raw",Central America (also naturalized in South America and the Caribbean)
Pyrostegia venusta,Flame Vine|Orange Trumpet Vine|Golden Shower,,true,Pyrostegia,,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,medium,,,full sun,"well-drained loam, tolerates poor soil",climbing vine,900,No significant documented toxicity,"South America (Brazil, Bolivia, Paraguay, Argentina)"
Bignonia capreolata,Crossvine|Trumpet Flower,,false,Bignonia,,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,medium,,,full sun to partial shade,"tolerates wet to dry, acidic, well-drained soils",climbing vine,1500,No significant documented toxicity,North America (southeastern United States)
Kigelia africana,Sausage Tree,,false,Kigelia,,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,medium,800,2000,full sun,tolerates a wide range of well-drained soils,tree,2000,"Raw fruit is toxic/inedible, acting as a strong purgative and can cause mouth/skin blistering; traditionally processed (dried, roasted, or fermented) before limited use",Africa (tropical sub-Saharan Africa)
Tecoma stans,Yellow Trumpetbush|Yellow Bells|Trumpetflower,,true,Tecoma,,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,low,800,2000,full sun,"well-drained, tolerates poor and rocky soil",shrub,600,"Contains toxic alkaloids (e.g. tecomine); honey made from its nectar can be poisonous, causing nausea, dizziness or neurological symptoms",Central/South America (Mexico to Argentina)
Tecomaria capensis,Cape Honeysuckle,,true,Tecomaria,,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,low,,,full sun to partial shade,"tolerates poor, sandy, and coastal soils",shrub,300,No significant documented toxicity,"Southern Africa (South Africa, Eswatini, Mozambique)"
Podranea ricasoliana,Pink Trumpet Vine|Port St. Johns Creeper,,false,Podranea,,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,medium,,,full sun to partial shade,"well-drained, tolerates poor soil",climbing vine,800,No significant documented toxicity,"South Africa (Eastern Cape, Port St. Johns area; also Malawi, Mozambique, Zambia)"
Millingtonia hortensis,Indian Cork Tree|Tree Jasmine,,false,Millingtonia,,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,medium,800,2000,full sun,well-drained loam,tree,2500,No significant documented toxicity,"Southeast Asia (Myanmar, Thailand, Laos, Cambodia, Vietnam, Peninsular Malaysia, southern China, Indonesia)"
