"scientific_name","common_names","image_url","is_invasive","genus","subfamily","family","order","class","phylum","kingdom","watering_level","ppfd_min","ppfd_max","light_requirement","soil_type","growth_pattern","mature_height_cm","toxicity_notes"
"Ocimum basilicum","Sweet basil|Genovese basil|Thai basil","https://upload.wikimedia.org/wikipedia/commons/b/b3/Ocimum_basilicum.jpg","false","Ocimum","Nepetoideae","Lamiaceae","Lamiales","Magnoliopsida","Tracheophyta","Plantae","medium","300","600","full sun","well-drained loam","upright herb","60","Generally non-toxic for humans and pets; widely eaten fresh/dried as a culinary herb. No significant documented toxicity."
"Mentha spicata","Spearmint","https://upload.wikimedia.org/wikipedia/commons/c/c6/Mentha_spicata0.jpg","false","Mentha","Nepetoideae","Lamiaceae","Lamiales","Magnoliopsida","Tracheophyta","Plantae","medium","300","600","full sun to partial shade","well-drained loam","spreading herb","90","Generally non-toxic; widely used as a culinary/medicinal herb. Large quantities of essential oil can cause gastric irritation, but culinary amounts are safe for humans and regarded as non-toxic to pets."
"Mentha piperita","Peppermint","https://upload.wikimedia.org/wikipedia/commons/a/a6/Mentha_%C3%97_piperita2.jpg","false","Mentha","Nepetoideae","Lamiaceae","Lamiales","Magnoliopsida","Tracheophyta","Plantae","medium","300","600","full sun to partial shade","well-drained loam","spreading herb","100","Generally non-toxic; widely used as a culinary/medicinal herb. High-concentration menthol oil can irritate mucous membranes, but leaf/culinary use is safe and non-toxic for humans; regarded as non-toxic to pets."
"Salvia rosmarinus","Rosemary (syn. Rosmarinus officinalis)","https://upload.wikimedia.org/wikipedia/commons/0/03/Rosmarinus_officinalis2.jpg","false","Salvia","Nepetoideae","Lamiaceae","Lamiales","Magnoliopsida","Tracheophyta","Plantae","low","400","800","full sun","well-drained loam","upright shrub","120","Generally non-toxic for adults in culinary amounts; leaves widely used as a seasoning. Essential oil is concentrated and can cause neurotoxicity/seizure-like symptoms in large doses or in children/pets if ingested. Treat concentrated oil as hazardous; normal culinary herb use is safe."
"Salvia officinalis","Garden sage|Common sage","https://upload.wikimedia.org/wikipedia/commons/6/66/Salvia_officinalis03.jpg","false","Salvia","Nepetoideae","Lamiaceae","Lamiales","Magnoliopsida","Tracheophyta","Plantae","medium","400","800","full sun","well-drained loam","upright shrub","80","Generally non-toxic in culinary amounts. Thujone in common sage oil is mild and not a concern in food amounts; large doses of concentrated essential oil or tea can be neurotoxic. Generally regarded as safe as a food herb."
"Thymus vulgaris","Thyme|Common thyme|Garden thyme","https://upload.wikimedia.org/wikipedia/commons/0/0c/Thymus_vulgaris_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-095.jpg","false","Thymus","Nepetoideae","Lamiaceae","Lamiales","Magnoliopsida","Tracheophyta","Plantae","medium","400","800","full sun","well-drained loam","mat-forming subshrub","30","Generally non-toxic; leaves widely used culinary herb. Thymol is the primary bioactive and is safe at culinary doses; high-concentration essential oil can irritate mucous membranes. Normal use is safe for humans and pets."
"Origanum vulgare","Oregano|Wild marjoram","https://upload.wikimedia.org/wikipedia/commons/2/2c/Origanum_vulgare_habitus_2010-04-25.jpg","false","Origanum","Nepetoideae","Lamiaceae","Lamiales","Magnoliopsida","Tracheophyta","Plantae","medium","400","800","full sun","well-drained loam","upright herb","60","Generally non-toxic; leaves used as culinary herb. Essential oil contains carvacrol/thymol but is safe at culinary doses. No significant documented toxicity for humans in food amounts."
"Origanum majorana","Sweet marjoram","https://upload.wikimedia.org/wikipedia/commons/c/cf/Origanum_majorana_001.jpg","false","Origanum","Nepetoideae","Lamiaceae","Lamiales","Magnoliopsida","Tracheophyta","Plantae","medium","400","800","full sun to partial shade","well-drained loam","upright herb","50","Generally non-toxic; culinary herb. Essential oil in large doses can cause sedation/irritation, but leaf use is safe. Generally regarded as safe for normal culinary use."
"Lavandula angustifolia","English lavender|True lavender","https://upload.wikimedia.org/wikipedia/commons/1/1c/Lavandula_angustifolia_%28purple%29.jpg","false","Lavandula","Nepetoideae","Lamiaceae","Lamiales","Magnoliopsida","Tracheophyta","Plantae","medium","400","800","full sun","sandy/well-drained, slightly alkaline","shrub","60","Generally non-toxic in small amounts; flowers/leaves used in food/perfume. Lavender oil in large doses may cause GI distress or confusion in humans and can be irritating/toxic to cats/dogs in concentrated form. Culinary sparse use is usual and generally regarded as safe."
"Melissa officinalis","Lemon balm","https://upload.wikimedia.org/wikipedia/commons/5/5e/Melissa_officinalis_flower.jpg","false","Melissa","Nepetoideae","Lamiaceae","Lamiales","Magnoliopsida","Tracheophyta","Plantae","medium","300","600","full sun to partial shade","well-drained loam","upright herb","70","Generally non-toxic; leaves widely used in teas and culinary applications. Generally regarded as safe. No significant documented toxicity or pet-specific hazards reported in normal use."
"Nepeta cataria","Catnip|Catmint|Catswort","https://upload.wikimedia.org/wikipedia/commons/e/e0/Nepeta_cataria_001.jpg","false","Nepeta","Nepetoideae","Lamiaceae","Lamiales","Magnoliopsida","Tracheophyta","Plantae","medium","300","600","full sun to partial shade","well-drained loam","upright herb","100","Generally non-toxic to humans; commonly used as mild herbal tea/decoration. Nepetalactone is an attractant for felines, but no significant human toxicity documented. Not known to be hazardous to pets beyond behavioral stimulation."
"Perilla frutescens","Perilla|Shiso|Beefsteak plant","https://upload.wikimedia.org/wikipedia/commons/a/a9/Perilla_frutescens_var._crispa_Deinse2.jpg","false","Perilla","Nepetoideae","Lamiaceae","Lamiales","Magnoliopsida","Tracheophyta","Plantae","medium","400","800","full sun to partial shade","well-drained loam","upright herb","90","Leaves are edible and used in East Asian cuisine; some varieties/seeds are consumed safely after cooking. Seeds and some chemotypes may contain perilla ketone/cyanogenic glycosides — raw/unidentified material can cause toxicity in sensitive species. Prefer identified culinary varieties prepared safely."
"Salvia splendens","Scarlet sage|Tropical sage","https://upload.wikimedia.org/wikipedia/commons/5/5c/Salvia_splendens.jpg","false","Salvia","Nepetoideae","Lamiaceae","Lamiales","Magnoliopsida","Tracheophyta","Plantae","medium","400","800","full sun to partial shade","well-drained loam","upright herb","60","Not well documented; generally regarded as having low toxicity, but specific formal toxicology data are sparse. Some Salvia species contain thujone; S. splendens is not known as a high-thujone species. No major documented poisoning risk; treat as generally low toxicity pending formal source."
"Plectranthus scutellarioides","Coleus|Painted nettle","https://upload.wikimedia.org/wikipedia/commons/c/c1/Plectranthus_scutellarioides.jpg","false","Plectranthus","Nepetoideae","Lamiaceae","Lamiales","Magnoliopsida","Tracheophyta","Plantae","medium","400","800","full sun to partial shade","well-drained loam","spreading herb","60","Generally considered non-toxic to humans and widely used as an ornamental. ASPCA classifies Plectranthus as non-toxic. No significant documented toxicity."
"Stachys byzantina","Lamb's ear|Lamb's wool","https://upload.wikimedia.org/wikipedia/commons/2/26/Stachys_byzantina_habitus_2010-04-25.jpg","false","Stachys","Lamioideae","Lamiaceae","Lamiales","Magnoliopsida","Tracheophyta","Plantae","medium","","","full sun to partial shade","well-drained loam","groundcover/rosette","40","Generally non-toxic; used ornamentally. Young leaves have been eaten as a salad green historically. No significant documented toxicity for humans or pets; some reports of mild skin irritation from hairy leaves."
"Monarda didyma","Bee balm|Scarlet beebalm|Oswego tea","https://upload.wikimedia.org/wikipedia/commons/e/ee/Monarda_didyma_%28cropped%29.jpg","false","Monarda","Nepetoideae","Lamiaceae","Lamiales","Magnoliopsida","Tracheophyta","Plantae","medium","400","800","full sun","well-drained loam","upright perennial","90","Generally non-toxic; leaves/flowers used in teas and as edible garnish. Some individuals are allergic to Lamiaceae pollen/resins though rare. Foliage can be irritant to pets if large amounts are ingested; regarded generally as non-toxic."
