"scientific_name","common_names","image_url","is_invasive","genus","subfamily","family","order","class","phylum","kingdom","watering_level","ppfd_min","ppfd_max","light_requirement","soil_type","growth_pattern","mature_height_cm","toxicity_notes"
"Sansevieria trifasciata","snake plant|mother-in-law's tongue","https://upload.wikimedia.org/wikipedia/commons/b/b1/Sansevieria_trifasciata_ZZ.jpg","false","Sansevieria","Nolinoideae","Asparagaceae","Asparagales","Liliopsida","Tracheophyta","Plantae","low","100","500","low to bright indirect","well-draining cactus/succulent mix","upright rosette","150","mildly toxic to cats/dogs if ingested (saponins cause GI upset"
"Sansevieria cylindrica","cylindrical snake plant|African spear","https://upload.wikimedia.org/wikipedia/commons/7/7e/Sansevieria_cylindrica_02.jpg","false","Sansevieria","Nolinoideae","Asparagaceae","Asparagales","Liliopsida","Tracheophyta","Plantae","low","100","500","low to bright indirect","well-draining cactus/succulent mix","upright cylindrical rosette","200","mildly toxic to cats/dogs if ingested (saponins cause GI upset)"
"Dracaena fragrans","corn plant|happy plant|fragrant dracaena","https://upload.wikimedia.org/wikipedia/commons/7/73/Dracaena_fragrans_at_Jardin_Botanique_de_Nice_%284%29.jpg","false","Dracaena","Nolinoideae","Asparagaceae","Asparagales","Liliopsida","Tracheophyta","Plantae","low","100","500","low to bright indirect","well-draining potting mix","upright cane","300","mildly toxic to cats/dogs (saponins); oral irritation"
"Dracaena marginata","dragon tree","","https://upload.wikimedia.org/wikipedia/commons/d/d8/Dracaena_marginata1.jpg","false","Nolinoideae","Asparagaceae","Asparagaceae","Asparagales","Liliopsida","Tracheophyta","Plantae","low","100","500","low to bright indirect","well-draining potting mix","upright cane","300"
"Dracaena reflexa","song of India|pleomele","","https://upload.wikimedia.org/wikipedia/commons/4/4a/Dracaena_reflexa.jpg","false","Nolinoideae","Asparagaceae","Asparagaceae","Asparagales","Liliopsida","Tracheophyta","Plantae","low","100","500","low to bright indirect","well-draining potting mix","upright tree-like","150"
"Chlorophytum comosum","spider plant|spider ivy|airplane plant","","false","Chlorophytum","Agavoideae","Asparagaceae","Asparagales","Liliopsida","Tracheophyta","Plantae","medium","200","500","bright indirect to partial shade","well-draining potting mix","trailing rosette","50","generally non-toxic to cats/dogs; pet-safe houseplant"
"Agave americana","century plant|American aloe","https://upload.wikimedia.org/wikipedia/commons/7/78/Agave_americana.jpg","false","Agave","Agavoideae","Asparagaceae","Asparagales","Liliopsida","Tracheophyta","Plantae","low","300","700","full sun","well-draining gritty soil, desert conditions","succulent rosette","200","sap and leaf tips irritating/causing contact dermatitis; toxic components affect livestock; generally not toxic if not ingested in quantity; mechanical injury from sharp leaf tips"
"Agave attenuata","swan's neck agave|fox tail agave","https://upload.wikimedia.org/wikipedia/commons/3/39/Agave_attenuata_02.jpg","false","Agave","Agavoideae","Asparagaceae","Asparagales","Liliopsida","Tracheophyta","Plantae","low","300","700","full sun to partial shade","well-draining sandy/rocky mix, desert","succulent rosette","100","sap can cause skin irritation in sensitive individuals; less mechanically hazardous than other species because leaf tips lack terminal spines; generally non-toxic but not consumed"
"Yucca elephantipes","spineless yucca||","true","Yucca","Agavoideae","Asparagaceae","Asparagales","Liliopsida","Tracheophyta","Plantae","low","400","800","full sun to bright indirect","well-draining potting mix","upright tree-form","300","saponins in roots and leaves mildly toxic to cats/dogs and livestock if ingested (oral irritation","drooling); leaf tips can cause mechanical injury"
"Yucca filamentosa","common yucca|Adam's needle","","false","Yucca","Agavoideae","Asparagaceae","Asparagales","Liliopsida","Tracheophyta","Plantae","low","400","800","full sun","well-draining sandy/rocky soil, drought-tolerant","rosette/basal","100","saponins mildly toxic if ingested by pets; leaf tips can cause mechanical injury; generally low risk in ornamental use"
"Cordyline fruticosa","ti plant|cabbage tree","https://upload.wikimedia.org/wikipedia/commons/f/f1/Cordyline_fruticosa-IMG_6485.jpg","false","Cordyline","Nolinoideae","Asparagaceae","Asparagales","Liliopsida","Tracheophyta","Plantae","medium","300","700","full sun to partial shade","well-draining humus-rich mix","upright shrub","300","saponin-containing saponins present; toxic to cats and dogs if ingested (vomiting"
"Beaucarnea recurvata","ponytail palm|elephant's foot","https://upload.wikimedia.org/wikipedia/commons/1/1f/Beaucarnea_recurvata_3.jpg","false","Beaucarnea","Nolinoideae","Asparagaceae","Asparagales","Liliopsida","Tracheophyta","Plantae","low","200","500","bright indirect to full sun","well-draining, low-nutrient water-retentive base","caudiciform tree","300","generally regarded as non-toxic to cats/dogs per USDA/ASPCA listings; large bulbous base is not hazardous; no major toxicity documented"
"Asparagus densiflorus","asparagus fern|foxtail fern|plumosa fern","https://upload.wikimedia.org/wikipedia/commons/7/71/Asparagus_setaceus0.jpg","false","Asparagus","Asparagoideae","Asparagaceae","Asparagales","Liliopsida","Tracheophyta","Plantae","medium","300","700","full sun to partial shade","well-draining loam","trailing/clumping","60","berries and foliage mildly toxic to cats/dogs/humans; sap may cause contact dermatitis with repeated handling"
"Asparagus setaceus","common asparagus fern","","https://upload.wikimedia.org/wikipedia/commons/9/96/Asparagus_setaceus0.jpg","false","Asparagoideae","Asparagaceae","Asparagaceae","Asparagales","Liliopsida","Tracheophyta","Plantae","medium","300","700","bright indirect to full sun","well-draining potting mix","climbing/trailing","100"
"Hosta plantaginea","fragrant plantain lily","https://upload.wikimedia.org/wikipedia/commons/9/91/Hosta_plantaginea0.jpg","false","Hosta","Agavoideae","Asparagaceae","Asparagales","Liliopsida","Tracheophyta","Plantae","medium","100","400","partial shade to full shade","well-drained humus-rich loam","clumping herbaceous perennial","50","saponins and possibly calcium oxalate crystals present; toxic to dogs and cats in large amounts (vomiting"
"Liriope muscari","lilyturf|big blue lilyturf","https://upload.wikimedia.org/wikipedia/commons/d/dc/Liriope_muscari.jpg","false","Liriope","Agavoideae","Asparagaceae","Asparagales","Liliopsida","Tracheophyta","Plantae","medium","100","400","bright indirect to partial shade","well-drained humus-rich soil","clumping perennial","50","berries and foliage mildly toxic if ingested by pets; can cause GI upset (vomiting"
"Ophiopogon japonicus","mondo grass|mondograss","https://upload.wikimedia.org/wikipedia/commons/f/f3/Ophiopogon_japonicus.jpg","false","Ophiopogon","Agavoideae","Asparagaceae","Asparagales","Liliopsida","Tracheophyta","Plantae","medium","100","400","partial shade to full shade","well-drained loam","creeping groundcover","30","berries appear toxic to cats and dogs; foliage may cause mild GI upset if large amounts ingested; not a major ornamental hazard in normal use"
"Polygonatum odoratum","Solomon's seal","https://upload.wikimedia.org/wikipedia/commons/3/36/Polygonatum_odoratum_kz03.jpg","false","Polygonatum","Nolinoideae","Asparagaceae","Asparagales","Liliopsida","Tracheophyta","Plantae","medium","100","400","partial shade to full shade","well-drained humus-rich loam","arching herbaceous perennial","100","berries mildly toxic to small children and pets if ingested; GI upset reported; ripe berries less toxic than green; generally considered low-risk ornamental"
"Ruscus aculeatus","butcher's broom|prickly-ivy","","false","Ruscus","Nolinoideae","Asparagaceae","Asparagales","Liliopsida","Tracheophyta","Plantae","medium","100","400","partial shade to full shade","well-drained loam","evergreen shrublet","100","berries mildly toxic to humans if ingested in quantity; historically used medicinally but not for self-medication; generally considered low-toxicity ornamental; pets — mild caution"
"Camassia quamash","common camas|quamash","","false","Camassia","Agavoideae","Asparagaceae","Asparagales","Liliopsida","Tracheophyta","Plantae","medium","200","400","full sun to partial shade","well-drained loam, tolerates moisture in spring, dormancy in summer","bulbous perennial","60","bulbs were a traditional food of indigenous North Americans when properly prepared; raw bulbs contain steroidal saponins mildly toxic to humans and pets if consumed unprocessed; not a concern when grown ornamentally"
