scientific_name,common_names,image_url,is_invasive,genus,subfamily,family,order,class,phylum,kingdom,watering_level,ppfd_min,ppfd_max,light_requirement,soil_type,growth_pattern,mature_height_cm,toxicity_notes
Ficus lyrata,fiddle-leaf fig,https://upload.wikimedia.org/wikipedia/commons/5/54/Ficus_lyrata_01.jpg,false,Ficus,,Moraceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,medium,200,500,bright indirect,well-draining potting mix,tree,300,Latex is mildly toxic to cats/dogs; causes skin/eye irritation; oral irritation if ingested
Ficus elastica,rubber plant,https://upload.wikimedia.org/wikipedia/commons/5/54/Rubber_plant2.jpg,false,Ficus,,Moraceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,medium,200,500,bright indirect to medium,well-draining potting mix,tree,300,Latex causes mild oral/skin irritation if chewed; pet exposure causes light irritation; significant harm unlikely unless large quantity ingested
Ficus benjamina,weeping fig,https://upload.wikimedia.org/wikipedia/commons/9/92/Ficus_benjamina_001.jpg,true,Ficus,,Moraceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,medium,200,500,bright indirect to medium,well-draining potting mix,tree,300,"Latex mildly toxic to cats/dogs; oral, skin, or eye irritation; large ingestions unlikely to be severe"
Ficus microcarpa,Indian laurel / ficus tree,https://upload.wikimedia.org/wikipedia/commons/2/2b/Ficus_microcarpa_20130825.jpg,true,Ficus,,Moraceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,medium,200,500,bright indirect to medium,well-draining potting mix or garden soil,tree,600,Latex can cause mild skin/eye irritation and slight oral irritation if ingested; not considered severely toxic
Ficus religiosa,sacred fig,,false,Ficus,,Moraceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,low,200,500,full sun to bright indirect,well-draining soil,large tree,2000,Mild latex-related irritation possible; fruit not widely studied but generally considered low toxicity; leave cautionary due to limited specific safety data
Ficus carica,common fig / edible fig,https://upload.wikimedia.org/wikipedia/commons/5/54/Ficus_carica_001.jpg,false,Ficus,,Moraceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,medium,300,600,full sun to partial shade,well-drained loamy soil,small tree,1000,Non-toxic to humans; fruit edible. Sap may cause mild skin irritation in sensitive individuals; foliage can cause digestive upset in some pets if ingested.
Ficus pumila,creeping fig,https://upload.wikimedia.org/wikipedia/commons/5/58/Ficus_pumila2.jpg,false,Ficus,,Moraceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,medium,200,500,bright indirect to partial shade,well-draining soil,climbing / groundcover,900,Mild skin/eye irritation from sap; oral irritation if ingested; not considered severely toxic to pets
Ficus benghalensis,banyan fig,,false,Ficus,,Moraceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,low,200,500,bright indirect to full sun,well-drained soil,large tree,3000,Latex causes mild irritation; not considered severely toxic; leave cautionary because large adult forms are rare in horticulture
Ficus rubiginosa,rusty-leaf fig / Port Jackson fig,,false,Ficus,,Moraceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,low,200,500,full sun to bright indirect,well-drained soil,large tree,1500,Latex can cause mild irritation; generally low-toxicity household hazard except for sap contact
Ficus aspera,mosaic fig,,false,Ficus,,Moraceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,medium,200,500,bright indirect,well-draining potting mix,shrub / small tree,600,Insufficient specific toxicity data; folllow general ficoid latex preacution
Morus alba,white mulberry,https://upload.wikimedia.org/wikipedia/commons/1/12/Morus_alba.jpg,false,Morus,,Moraceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,medium,300,600,full sun,well-drained soil,tree,1000,Leaves and unripe fruit can be mildly toxic to some livestock; ripe fruit edible for humans; not considered seriously toxic to cats/dogs
Morus nigra,black mulberry,https://upload.wikimedia.org/wikipedia/commons/7/7c/Morus_nigra_fruit.jpg,false,Morus,,Moraceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,medium,300,600,full sun,well-drained soil,tree,1000,Similar to M. alba: ripe fruit edible for humans; foliage slightly toxic to some livestock; not considered severely toxic to companion animals
Artocarpus heterophyllus,jackfruit,https://upload.wikimedia.org/wikipedia/commons/3/35/Artocarpus_heterophyllus_fruit.jpg,false,Artocarpus,,Moraceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,medium,300,600,full sun,well-drained fertile soil,large tree,1000,Fresh latex may cause mild skin/eye irritation; ripe fruit edible for humans; unripe fruit/spines can irritate; not considered severely toxic to pets
Artocarpus altilis,breadfruit,https://upload.wikimedia.org/wikipedia/commons/d/d3/Breadfruit.jpg,false,Artocarpus,,Moraceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,medium,300,600,full sun,well-drained fertile soil,tree,1500,Latex in inner tissues can irritate skin; cooked fruit edible; raw latex may be mildly irritating; not considered highly toxic to pets
Broussonetia papyrifera,paper mulberry,https://upload.wikimedia.org/wikipedia/commons/4/4c/Broussonetia_papyrifera_3224.jpg,true,Broussonetia,,Moraceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,medium,300,600,full sun to partial shade,well-drained soil,tree,1500,Invasive in many regions; pollinating flowers can become allergenic; fruit/leaves mildly toxic/irritant to some animals in large quantities
