scientific_name,common_names,image_url,is_invasive,genus,subfamily,family,order,class,phylum,kingdom,watering_level,ppfd_min,ppfd_max,light_requirement,soil_type,growth_pattern,mature_height_cm,toxicity_notes
Daucus carota,Queen Anne's lace|Wild carrot|Bird's nest,https://upload.wikimedia.org/wikipedia/commons/5/59/Daucus_carota_habit.jpg,true,Daucus,,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,low,300,600,full sun,well-drained loam,upright/herbaceous biennial,100,Root is a common food crop when domesticated (carrot). Wild form foliage contains phototoxic furanocoumarins that can cause phytophotodermatitis on skin when exposed to sunlight; foliage mildly toxic if ingested in quantity. Root is safe when cultivated.
Coriandrum sativum,Cilantro|Coriander|Chinese parsley,https://upload.wikimedia.org/wikipedia/commons/7/78/Coriander_seeds_and_powder.jpg,false,Coriandrum,,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,medium,300,600,full sun to partial shade,well-drained loam,upright/herbaceous annual,60,Generally non-toxic; herb and seeds are widely used culinary ingredients. Some individuals report allergic reactions or intolerance to coriander — rare but documented. No significant toxicity concern for normal dietary use.
Anethum graveolens,Dill,https://upload.wikimedia.org/wikipedia/commons/4/43/Anethum_graveolens_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-008.jpg,false,Anethum,,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,medium,300,600,full sun to partial shade,well-drained loam,upright/herbaceous annual,80,"Generally non-toxic; herb, seeds, and flowers are culinary staples. Large quantities of seeds/oils have murrayaquinone A but no documented acute toxicity for humans in culinary amounts. Generally regarded as safe."
Petroselinum crispum,Flat-leaf parsley|Curly parsley|Garden parsley,https://upload.wikimedia.org/wikipedia/commons/6/6e/Petrsln_crispum_umbela.jpg,false,Petroselinum,,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,medium,300,600,full sun to partial shade,well-drained loam,upright/herbaceous biennial,60,Generally non-toxic; leaves widely used as garnish and food. Large amounts of seeds may have oxalate concerns but normal culinary use is safe. Some sources list mild skin sensitization potential.
Apium graveolens,Celery,https://upload.wikimedia.org/wikipedia/commons/7/7b/Celery_%28Apium_graveolens%29_-_Harrogs_du_Chatelet.jpg,false,Apium,,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,high,400,800,full sun to partial shade,"fertile, moist, well-drained loam",upright/herbaceous biennial,80,Stalks and leaves are edible food crops; generally non-toxic. Some individuals are allergic to raw celery skin/seed; commercial stock is relatively low in phototoxic furanocoumarins compared to wild relatives. Generally regarded as safe.
Foeniculum vulgare,Fennel,https://upload.wikimedia.org/wikipedia/commons/2/26/Foeniculum_vulgare00.jpg,false,Foeniculum,,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,medium,300,600,full sun,"well-drained loam, tolerates poor soils",upright/herbaceous perennial,200,Generally non-toxic; seeds and fronds used as culinary herb and digestive aid. Large quantities of seeds/oils can cause photosensitivity in rare cases; generally regarded as safe. Can sometimes be spreading in mild climates but not broadly classified as invasive.
Pimpinella anisum,Anise,https://upload.wikimedia.org/wikipedia/commons/5/5c/Pimpinella_anisum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-112.jpg,false,Pimpinella,,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,medium,300,600,full sun,well-drained loam,upright/herbaceous annual,60,Generally non-toxic; seeds are a common culinary spice. Some reports of allergic reactions in sensitive individuals; otherwise widely regarded as safe in normal food amounts.
Carum carvi,Caraway,https://upload.wikimedia.org/wikipedia/commons/3/37/Carum_carvi_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-130.jpg,false,Carum,,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,medium,300,600,full sun,well-drained loam,upright/herbaceous biennial,60,Generally non-toxic; seeds widely used as spice and digestive aid. No significant documented toxicity for culinary amounts. Safe for human consumption in normal dietary doses.
Cuminum cyminum,Cumin,https://upload.wikimedia.org/wikipedia/commons/2/28/Cuminum_cyminum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-088.jpg,false,Cuminum,,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,low,300,600,full sun,well-drained sandy loam,upright/herbaceous annual,30,Generally non-toxic; seeds widely used spice. Potentially allergenic in rare cases; no documented significant toxicity in culinary amounts. Generally regarded as safe.
Angelica archangelica,Angelica,https://upload.wikimedia.org/wikipedia/commons/e/e6/Angelica_archangelica_004.jpg,false,Angelica,,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,medium,,,partial shade,"moist, well-drained loam, fertile",upright/herbaceous biennial,150,Root and seeds used medicinally/culinarily in small amounts — generally non-toxic for most adults. Constituents are phototoxic furanocoumarins; caution advised for pregnant individuals. Large doses of root can have cardiac effects; use with caution. Documented non-toxic for normal culinary/medicinal use.
Levisticum officinale,Lovage,https://upload.wikimedia.org/wikipedia/commons/b/b8/Levisticum_officinale_001.jpg,false,Levisticum,,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,medium,300,600,full sun to partial shade,"fertile, moist, well-drained loam",upright/herbaceous perennial,200,"Generally non-toxic; leaves, seeds, and roots used as culinary herb. Leaves have celery-like flavor; generally regarded as safe in normal culinary amounts. Skin contact with sap can cause photosensitivity in susceptible individuals."
Chaerophyllum bulbosum,Ground cherry|Chervil|Root parsley,https://upload.wikimedia.org/wikipedia/commons/9/94/Chaerophyllum_bulbosum_003.jpg,false,Chaerophyllum,,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,medium,,,partial shade,well-drained loam,upright/herbaceous biennial,80,Root is edible and used as a root vegetable in European cuisine after a long storage period (reduces bitterness). Wild foliage may contain low levels of furanocoumarins; root is treated as non-toxic when properly prepared/cooked. Cultivated as a specialty crop.
Conium maculatum,Poison hemlock|Spotted hemlock|St. Bennet's weed,https://upload.wikimedia.org/wikipedia/commons/6/6c/Conium_maculatum.jpg,true,Conium,,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,,,,,,,,HIGHLY TOXIC — all parts of the plant are poisonous. Contains cicutoxin/pyrrolizidine alkaloids and coniine. Lethal to humans and animals even in small quantities. Ingestion causes respiratory paralysis and death. Skin contact with sap may also cause irritation. Deadly — do not ingest any part.
Eryngium maritimum,Sea holly|Sea eryngo,https://upload.wikimedia.org/wikipedia/commons/4/47/Eryngium_maritimum_003.jpg,false,Eryngium,,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,medium,,,full sun,"well-drained, sandy soil, maritime",upright/herbaceous perennial,60,Generally low toxicity; used ornamentally. Spiny bracts can cause minor mechanical injury. Foliage reportedly has mild photosensitizing effect on skin for some individuals. No major documented toxicity to humans or pets in small exposure.
Heracleum sphondylium,Hogweed|Common hogweed,https://upload.wikimedia.org/wikipedia/commons/5/55/Heracleum_sphondylium_003.jpg,false,Heracleum,,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,medium,300,600,full sun to partial shade,well-drained loam,upright/herbaceous perennial,120,Foliage and stems contain phototoxic furanocoumarins that cause phytophotodermatitis (severe blistering/burns) when skin contact is followed by sunlight exposure — requires medical attention. Related to Giant Hogweed (H. mantegazzianum); this species is smaller but sap hazard persists. Seeds occasionally foraged but with caution.
