scientific_name,common_names,image_url,is_invasive,genus,subfamily,family,order,class,phylum,kingdom,watering_level,ppfd_min,ppfd_max,light_requirement,soil_type,growth_pattern,mature_height_cm,toxicity_notes
Cucurbita pepo,Zucchini|Summer squash|Pumpkin|Gourd,https://upload.wikimedia.org/wikipedia/commons/8/8e/Courgette_flower_and_fruit.jpg,false,Cucurbita,Cucurbitoideae,Cucurbitaceae,Cucurbitales,Magnoliopsida,Tracheophyta,Plantae,medium,550,850,full sun,well-drained loam,upright/climbing (some bush types),100,Fruit edible and widely cultivated as a food crop; cultivated varieties are safe. Wild/highly stressed plants can accumulate cucurbitacins producing dangerous bitterness; discard any that taste unusually bitter — especially seeds/skin.
Cucurbita maxima,Hubbard squash|Giant pumpkin|Turban squash,https://upload.wikimedia.org/wikipedia/commons/0/07/Cucurbita_maxima_2010_G1.jpg,false,Cucurbita,Cucurbitoideae,Cucurbitaceae,Cucurbitales,Magnoliopsida,Tracheophyta,Plantae,medium,550,850,full sun,well-drained loam,climbing/trailing,150,Fruit edible and widely cultivated; safe in cultivated varieties. Wild forms or plants under stress can produce cucurbitacin-induced bitterness causing GI distress; discard bitter fruit.
Cucurbita moschata,Butternut squash|Muscadine squash|Pumpkin,https://upload.wikimedia.org/wikipedia/commons/a/a5/Cucurbita_moschata_butternut_squash.jpg,false,Cucurbita,Cucurbitoideae,Cucurbitaceae,Cucurbitales,Magnoliopsida,Tracheophyta,Plantae,medium,550,850,full sun,well-drained loam,trailing/climbing,300,"Edible fruit widely used as a food crop; safe in cultivated forms. As with other Cucurbita, wild/highly stressed vines can accumulate cucurbitacins — avoid consuming bitter-tasting fruit or pulp."
Cucumis sativus,Cucumber,https://upload.wikimedia.org/wikipedia/commons/9/99/Cucumis_sativus_fruits.jpg,false,Cucumis,Cucurbitoideae,Cucurbitaceae,Cucurbitales,Magnoliopsida,Tracheophyta,Plantae,high,600,1000,full sun,well-drained loam,climbing/trailing (bush cultivars),180,Fruit edible and non-toxic when cultivated; commonly eaten raw or pickled. Vine foliage contains cucurbitacins in wild/stressed plants and can cause mild irritation; fruit is safe.
Cucumis melo,Muskmelon|Cantaloupe|Honeydew,https://upload.wikimedia.org/wikipedia/commons/1/15/Cantaloupes.jpg,false,Cucumis,Cucurbitoideae,Cucurbitaceae,Cucurbitales,Magnoliopsida,Tracheophyta,Plantae,medium,600,1000,full sun,well-drained loam,trailing/climbing,150,Fruit edible and non-toxic; a major food crop. Foliage under stress may contain cucurbitacins; fruit of cultivated varieties safe for normal consumption.
Citrullus lanatus,Watermelon,https://upload.wikimedia.org/wikipedia/commons/a/a2/Watermelon_cross_section.jpg,false,Citrullus,Cucurbitoideae,Cucurbitaceae,Cucurbitales,Magnoliopsida,Tracheophyta,Plantae,medium,600,1000,full sun,"sandy loam, well-drained",trailing,300,"Fruit pulp is safe and widely eaten; seeds edible when roasted. Wild/bitter forms of Citrullus (e.g., Citrullus colocynthis) contain cucurbitacins and are toxic — cultivated watermelon varieties are non-toxic."
Lagenaria siceraria,Calabash|Bottle gourd|White-flowered gourd,https://upload.wikimedia.org/wikipedia/commons/8/87/Lagenaria_siceraria_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-161.jpg,false,Lagenaria,Cucurbitoideae,Cucurbitaceae,Cucurbitales,Magnoliopsida,Tracheophyta,Plantae,medium,500,900,full sun,well-drained loam,climbing,600,Young fruit is edible; mature fruit is typically too fibrous/bitter for eating and used instead as containers/utensils. Bitter forms contain cucurbitacins and are toxic — do not consume bitter mature fruit.
Luffa aegyptiaca,Luffa|Luffa gourd|Sponge gourd,https://upload.wikimedia.org/wikipedia/commons/6/6d/Luffa_aegyptiaca_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-234.jpg,false,Luffa,Cucurbitoideae,Cucurbitaceae,Cucurbitales,Magnoliopsida,Tracheophyta,Plantae,medium,500,900,full sun,well-drained loam,climbing,200,Young fruit is edible and eaten as a vegetable; mature fruit becomes fibrous and is used as a natural loofah sponge. Bitter mature fruit contains cucurbitacins — only consume young tender fruit.
Momordica charantia,Bitter melon|Bitter gourd|Balsam pear,https://upload.wikimedia.org/wikipedia/commons/3/37/Momordica_charantia_fruit_W2_img.jpg,false,Momordica,Cucurbitoideae,Cucurbitaceae,Cucurbitales,Magnoliopsida,Tracheophyta,Plantae,high,600,1000,full sun,well-drained loam,climbing/trailing,500,"Fruit is edible and widely used in Asian cuisines; unripe fruit is intensely bitter. In large amounts fruit can be toxic to pets/humans and is contraindicated in pregnancy; seeds are toxic if ingested in quantity. GI upset, hypoglycemia risk in sensitive individuals."
Sechium edule,Chayote,https://upload.wikimedia.org/wikipedia/commons/6/60/Sechium_edule_fruit_2.jpg,false,Sechium,Cucurbitoideae,Cucurbitaceae,Cucurbitales,Magnoliopsida,Tracheophyta,Plantae,medium,500,800,full sun to partial shade,well-drained loam,climbing/trailing,1200,"Fruit, stems, and leaves are edible and widely cultivated as a food crop; generally considered non-toxic and safe. Tubers also edible. No significant documented toxicity."
Benincasa hispida,Winter melon|White pumpkin|Wax gourd,https://upload.wikimedia.org/wikipedia/commons/8/8d/Benincasa_hispida_fruit.jpg,false,Benincasa,Cucurbitoideae,Cucurbitaceae,Cucurbitales,Magnoliopsida,Tracheophyta,Plantae,medium,500,900,full sun,well-drained loam,climbing/trailing,400,Fruit is edible and widely used in Asian cuisines; mature fruit stores well. Young shoots and leaves also eaten as vegetables. Generally non-toxic when prepared normally.
Cyclanthera pedata,Stuffing cucumber|Achocha|Caiba,https://upload.wikimedia.org/wikipedia/commons/e/e0/Cyclanthera_pedata_fruit1.jpg,false,Cyclanthera,Cucurbitoideae,Cucurbitaceae,Cucurbitales,Magnoliopsida,Tracheophyta,Plantae,medium,500,900,full sun to partial shade,well-drained loam,climbing,200,Fruit is edible and traditionally used as a vegetable/stuffed dish in Andean cuisine; generally non-toxic. Raw seeds contain saponins and should generally be removed before cooking/eating.
Coccinia grandis,Ivy gourd|Scarlet gooseberry|Kova,https://upload.wikimedia.org/wikipedia/commons/f/fc/CocciniagrandisKaleeRavindra.jpg,true,Coccinia,Cucurbitoideae,Cucurbitaceae,Cucurbitales,Magnoliopsida,Tracheophyta,Plantae,medium,500,800,full sun to partial shade,well-drained loam,climbing/trailing,1000,"Fruit and young shoots are edible and consumed in tropical Asian/African cuisine; generally non-toxic when prepared. Documented invasive species in tropical regions including the Caribbean, Florida, Hawaii, and Pacific islands."
Bryonia dioica,White bryony|Bryony|Ladies' seal,https://upload.wikimedia.org/wikipedia/commons/c/c3/Bryonia_dioica.jpg,false,Bryonia,Cucurbitoideae,Cucurbitaceae,Cucurbitales,Magnoliopsida,Tracheophyta,Plantae,medium,,,partial shade,well-drained loam,climbing/trailing,300,"All parts are toxic, especially the berries and root; contains cucurbitacins and bryonin. Berries are particularly hazardous to children and pets. Poisoning causes GI distress. Skin contact with sap may cause irritation."
Ecballium elaterium,Squirting cucumber|Wild cucumber,https://upload.wikimedia.org/wikipedia/commons/0/0f/Ecballium_elaterium_5500.jpg,false,Ecballium,Cucurbitoideae,Cucurbitaceae,Cucurbitales,Magnoliopsida,Tracheophyta,Plantae,medium,,,full sun to partial shade,well-drained loam,trailing/prostrate,50,All parts are toxic; contains elaterin and cucurbitacins causing severe GI distress. The explosively dehiscent fruit can cause eye/skin irritation on contact. All parts should be handled with care; berries especially dangerous to children and pets.
