scientific_name,common_names,image_url,is_invasive,genus,subfamily,family,order,class,phylum,kingdom,watering_level,ppfd_min,ppfd_max,light_requirement,soil_type,growth_pattern,mature_height_cm,toxicity_notes,native_regions
Psidium guajava,Common guava|Guava|Guayaba,https://upload.wikimedia.org/wikipedia/commons/9/9a/Starr_070908-8737_Psidium_guajava.jpg,true,Psidium,Myrtoideae,Myrtaceae,Myrtales,Magnoliopsida,Tracheophyta,Plantae,medium,600,1500,full sun,"well-drained loam, tolerant of poor soils",tree,600,Edible fruit; no significant toxicity to humans or pets in normal consumption. Leaves used in folk medicine.,"Native to Mexico, Central America, and northern South America; invasive/naturalized in Hawaii, the Galapagos, southern Africa, New Zealand, and many Pacific islands."
Eugenia uniflora,Surinam cherry|Brazilian cherry|Pitanga,https://upload.wikimedia.org/wikipedia/commons/6/60/Eugenia_uniflora2.jpg,true,Eugenia,Myrtoideae,Myrtaceae,Myrtales,Magnoliopsida,Tracheophyta,Plantae,medium,600,1500,full sun to partial shade,"well-drained, adaptable to various soil types",shrub/small tree,700,"Edible fruit; no significant toxicity in normal consumption for humans. Generally regarded as non-toxic, though not specifically studied for pets.","Native to South America (Brazil, Uruguay, Paraguay, Argentina); documented as invasive in Florida, Hawaii, and other subtropical/tropical regions worldwide."
Eucalyptus globulus,Tasmanian blue gum|Blue gum,https://upload.wikimedia.org/wikipedia/commons/3/36/Eucalyptus_globulus_ssp_globulus.jpg,true,Eucalyptus,Myrtoideae,Myrtaceae,Myrtales,Magnoliopsida,Tracheophyta,Plantae,low,800,2000,full sun,"well-drained, tolerant of poor/degraded soils",tree,4500,Leaves and essential oil are toxic to cats and dogs if ingested; can cause GI upset and CNS depression. Not generally toxic to humans but oil is toxic if ingested undiluted.,"Native to Australia (Tasmania and southeastern Victoria). Widely documented as invasive/aggressive introduced species in California, Portugal, Spain, South Africa, Chile, and other parts of South America."
Eucalyptus camaldulensis,River red gum,https://upload.wikimedia.org/wikipedia/commons/8/85/Eucalyptus_camaldulensis.jpg,true,Eucalyptus,Myrtoideae,Myrtaceae,Myrtales,Magnoliopsida,Tracheophyta,Plantae,low,800,2000,full sun,tolerant of a wide range including heavy clay and seasonally waterlogged soils,tree,4500,Leaves and essential oil toxic to cats and dogs if ingested. Not typically toxic to humans in normal contact.,"Native to Australia (widespread along inland watercourses in all mainland states). Documented as invasive/naturalized in South Africa, California, and parts of the Mediterranean."
Eucalyptus grandis,Flooded gum|Rose gum,https://upload.wikimedia.org/wikipedia/commons/7/7a/Eucalyptus_grandis.jpg,true,Eucalyptus,Myrtoideae,Myrtaceae,Myrtales,Magnoliopsida,Tracheophyta,Plantae,medium,800,2000,full sun,"deep, well-drained, moist fertile soils preferred",tree,5000,Leaves and essential oil toxic to cats and dogs if ingested. Not typically toxic to humans in normal contact.,"Native to eastern Australia (coastal Queensland and New South Wales). Naturalized/invasive in South Africa, Brazil, and other plantation regions of South America and Africa."
Myrtus communis,Common myrtle|True myrtle,https://upload.wikimedia.org/wikipedia/commons/4/44/Myrtus_communis_flower.jpg,false,Myrtus,Myrtoideae,Myrtaceae,Myrtales,Magnoliopsida,Tracheophyta,Plantae,low,600,1500,full sun to partial shade,"well-drained, tolerant of poor/rocky soils",shrub,500,Not significantly toxic; berries are edible and used in traditional Mediterranean cuisine and liqueurs (e.g. mirto). Essential oil can cause irritation in concentrated form.,"Native to the Mediterranean region (Southern Europe, North Africa, Middle East/Western Asia)."
Syzygium cumini,Jambul|Java plum|Black plum|Jamun,https://upload.wikimedia.org/wikipedia/commons/6/6b/Syzygium_cumini_fruits.JPG,true,Syzygium,Myrtoideae,Myrtaceae,Myrtales,Magnoliopsida,Tracheophyta,Plantae,medium,600,1500,full sun to partial shade,"adaptable, tolerates wet and periodically flooded soils",tree,3000,"Edible fruit; generally safe for humans in normal consumption. Seeds used medicinally; no major documented pet toxicity, though excess seed consumption is not recommended.","Native to the Indian subcontinent and South Asia (India, Bangladesh, Sri Lanka, Myanmar). Documented as invasive in Florida and various Pacific islands (e.g. Hawaii)."
Syzygium aromaticum,Clove,https://upload.wikimedia.org/wikipedia/commons/9/94/Cloves.jpg,false,Syzygium,Myrtoideae,Myrtaceae,Myrtales,Magnoliopsida,Tracheophyta,Plantae,medium,400,1200,partial shade to full sun,"rich, well-drained volcanic or loamy soils",tree,1200,"Clove buds are safe as a culinary spice; however, concentrated clove/eugenol essential oil can be toxic (hepatotoxic, GI irritant) to humans and especially toxic to cats and dogs if ingested undiluted.","Native to the Maluku Islands (Moluccas), Indonesia."
Melaleuca alternifolia,Tea tree|Narrow-leaved paperbark,https://upload.wikimedia.org/wikipedia/commons/1/17/Melaleuca_alternifolia.jpg,false,Melaleuca,Myrtoideae,Myrtaceae,Myrtales,Magnoliopsida,Tracheophyta,Plantae,medium,700,1800,full sun,"moist, well-drained, tolerates seasonally waterlogged soils",shrub/small tree,700,"Tea tree oil is TOXIC TO CATS AND DOGS if ingested or applied undiluted, causing tremors, ataxia, and CNS depression; also toxic to humans if ingested. Not a broadly documented ecological invader outside Australia (unlike the related Melaleuca quinquenervia, which is a major Florida invasive).","Native to Australia, specifically the coastal areas of northern New South Wales."
Callistemon citrinus,Crimson bottlebrush|Lemon bottlebrush,https://upload.wikimedia.org/wikipedia/commons/e/e6/Callistemon_citrinus_flowers.jpg,false,Callistemon,Myrtoideae,Myrtaceae,Myrtales,Magnoliopsida,Tracheophyta,Plantae,low,600,1500,full sun,"well-drained, tolerant of a wide range of soils including clay",shrub,400,Generally considered non-toxic to humans and pets (ASPCA lists related Callistemon/bottlebrush as non-toxic); no significant documented toxicity.,Native to Australia (New South Wales and Queensland).
